E00001ANDERSON, JAMES         ENGR0008500019820312019-03-15REG
E00002MARTINEZ, LUCIA         MKTG0006200022015032019-07-22REG
E00003CHEN, WEI               ENGR0009750042018102020-01-10REG
E00004OKAFOR, ADAEZE          HRMS0005500012021082021-04-30REG
E00005PETROV, NIKOLAI         ENGR0011200002016012018-11-05REG
E00006KIM, SUN-HEE            FINC0007300032019062019-09-18REG
E00007IBRAHIM, YUSUF          MKTG0005800022020092022-02-14REG
E00008SILVA, RAFAEL           ENGR0008900012017052017-06-01REG
E00009JOHNSON, PATRICIA       HRMS0006750012022012022-08-20REG
E00010NAKAMURA, KEIKO         FINC0009100042015112015-12-07REG
